"Pos","Team","Pld","Wins","Draws","Losses","GF","GA","Ppg_Last_5_Matches","Points"
1,13,37,27,7,3,93,33,3.0,88
2,1,37,27,5,5,89,28,3.0,86
3,12,37,23,10,4,84,41,1.6,79
4,2,37,20,8,9,76,56,1.6,68
5,19,37,19,6,12,71,61,0.6,63
6,6,37,17,9,11,75,62,2.6,60
7,15,37,17,6,14,81,60,1.4,57
8,14,37,17,6,14,55,58,1.4,57
9,20,37,14,10,13,59,71,0.8,52
10,4,37,12,12,13,55,60,0.8,48
11,3,37,13,9,15,53,65,1.2,48
12,7,37,12,10,15,52,58,2.6,46
13,22,37,13,7,17,50,63,0.6,46
14,9,37,12,8,17,51,59,1.0,44
15,8,37,13,9,15,39,49,2.6,40
16,23,37,10,9,18,54,61,2.0,39
17,25,37,8,9,20,47,66,0.8,29
18,21,37,6,8,23,50,81,0.2,26
19,5,37,5,9,23,40,76,1.0,24
20,24,37,3,7,27,35,101,0.0,16
