"Pos","Team","Pld","Wins","Draws","Losses","GF","GA","Ppg_Last_5_Matches","Points"
1,1,36,26,5,5,88,28,2.4,83
2,13,35,25,7,3,87,33,3.0,82
3,12,36,23,9,4,81,38,1.4,78
4,2,36,20,7,9,73,53,1.6,67
5,19,35,18,6,11,69,58,0.6,60
6,14,35,17,5,13,78,56,2.4,56
7,15,35,15,9,11,70,59,2.0,54
8,6,35,16,6,13,52,55,1.2,54
9,20,36,13,10,13,56,70,0.8,49
10,3,36,13,9,14,52,63,1.4,48
11,22,36,12,11,12,53,57,0.8,47
12,4,36,13,7,16,49,60,0.8,46
13,9,36,12,8,16,51,55,1.0,44
14,7,36,11,10,15,49,57,2.6,43
15,8,36,12,9,15,38,49,2.0,37
16,23,36,9,9,18,52,60,1.4,36
17,25,36,8,9,19,45,63,0.8,29
18,21,36,6,8,22,49,78,0.8,26
19,5,36,5,9,22,39,74,1.0,24
20,17,36,3,7,25,35,100,0.0,16
